"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
26,7324,"global_load_dwordx4 v[2:5], v[22:23], off",1032,64940,60248,8244,""
26,7332,"global_load_dwordx4 v[6:9], v[22:23], off offset:16",1032,8972,4200,0,""
26,7340,"global_load_dwordx4 v[10:13], v[22:23], off offset:32",1032,9972,5176,0,""
26,7348,"global_load_dwordx4 v[14:17], v[22:23], off offset:48",1032,8352,4216,0,""
26,7356,"s_or_b64 exec, exec, s[8:9]",1056,4308,44,384,""
26,7360,"s_mov_b32 s11, s15",1056,4356,124,296,""
26,7364,"s_lshl_b64 s[0:1], s[10:11], 7",1056,4748,88,0,""
26,7368,"s_waitcnt lgkmcnt(0)",1056,4224,4224,0,""
26,7372,"s_mul_hi_i32 s8, s16, 0x18000000",1056,4372,144,0,""
26,7380,"s_mul_i32 s16, s16, 0x18000000",1056,4280,52,0,""
26,7388,"s_add_u32 s4, s4, s16",1056,4528,296,0,""
26,7392,"s_addc_u32 s5, s5, s8",1056,4408,140,0,""
26,7396,"v_or_b32_e32 v1, s0, v26",1056,7472,3184,0,""
26,7400,"v_mov_b64_e32 v[22:23], s[4:5]",1056,6008,1756,0,""
26,7404,"v_mad_u64_u32 v[22:23], s[4:5], v1, s14, v[22:23]",1056,5100,868,0,""
26,7412,"v_mov_b32_e32 v1, 0x3000",1056,6100,1864,0,""
26,7420,"v_mad_u32_u24 v23, s1, v1, v23",1056,6568,2324,0,""
26,7428,"v_lshl_add_u64 v[44:45], v[22:23], 0, v[18:19]",1056,5504,1256,0,""
26,7436,"global_load_dwordx4 v[28:31], v[44:45], off offset:16",1056,173276,168032,8424,""
26,7444,"global_load_dwordx4 v[32:35], v[44:45], off",1056,60060,54800,0,""
26,7452,"global_load_dwordx4 v[36:39], v[44:45], off offset:48",1056,66968,61708,0,""
26,7460,"global_load_dwordx4 v[40:43], v[44:45], off offset:32",1056,49072,44768,0,""
26,7468,"v_and_b32_e32 v44, 64, v26",1056,5452,1028,0,""
26,7472,"v_lshrrev_b32_e32 v27, 2, v0",1056,5008,772,0,""
26,7476,"v_and_b32_e32 v46, 15, v0",1056,4424,172,0,""
26,7480,"v_mul_u32_u24_e32 v26, 0x44, v26",1056,11352,7128,0,""
26,7488,"v_and_b32_e32 v18, 64, v0",1056,4992,768,0,""
26,7492,"v_and_b32_e32 v45, 12, v27",1056,4352,124,0,""
26,7496,"v_or_b32_e32 v27, 16, v46",1056,4844,620,0,""
26,7500,"v_or_b32_e32 v47, 32, v46",1056,4928,704,0,""
26,7504,"v_or_b32_e32 v48, 48, v46",1056,4348,124,0,""
26,7508,"v_or_b32_e32 v46, v44, v46",1056,4764,540,0,""
26,7512,"v_add_lshl_u32 v52, v26, v20, 1",1056,4864,640,0,""
26,7520,"v_and_b32_e32 v1, 0x4f, v0",1056,4460,236,0,""
26,7528,"v_and_b32_e32 v59, 1, v0",1056,4716,492,0,""
26,7532,"v_or_b32_e32 v49, v27, v44",1056,4716,488,0,""
26,7536,"v_or_b32_e32 v50, v47, v44",1056,4620,396,0,""
26,7540,"v_or_b32_e32 v51, v48, v44",1056,4844,620,0,""
26,7544,"v_or_b32_e32 v27, v27, v18",1056,4728,500,0,""
26,7548,"v_or_b32_e32 v47, v47, v18",1056,4476,240,0,""
26,7552,"v_or_b32_e32 v18, v48, v18",1056,4768,504,0,""
26,7556,"s_waitcnt vmcnt(6)",1056,183272,183272,0,""
26,7560,"ds_write2_b64 v52, v[6:7], v[8:9] offset0:2 offset1:3",1056,33872,12204,1104,""
26,7568,"ds_write2_b64 v52, v[2:3], v[4:5] offset1:1",1056,32492,8628,80,""
26,7576,"s_waitcnt vmcnt(4)",1056,16160,16160,0,""
26,7580,"ds_write2_b64 v52, v[14:15], v[16:17] offset0:6 offset1:7",1056,31328,8800,0,""
26,7588,"ds_write2_b64 v52, v[10:11], v[12:13] offset0:4 offset1:5",1056,29532,6896,64,""
26,7596,"v_mul_u32_u24_e32 v2, 0x44, v46",1056,8564,4320,108,""
26,7604,"v_lshlrev_b32_e32 v3, 1, v45",1056,5056,832,0,""
26,7608,"v_mul_u32_u24_e32 v26, 0x44, v1",1056,4744,520,0,""
26,7616,"v_lshl_add_u32 v46, v2, 1, v3",1056,5000,776,0,""
26,7624,"v_mul_u32_u24_e32 v2, 0x44, v49",1056,4608,384,0,""
26,7632,"v_mul_u32_u24_e32 v4, 0x44, v50",1056,4512,280,0,""
26,7640,"v_mul_u32_u24_e32 v5, 0x44, v51",1056,4888,660,0,""
26,7648,"v_mul_u32_u24_e32 v6, 0x44, v27",1056,4720,496,300,""
26,7656,"v_mul_u32_u24_e32 v7, 0x44, v47",1056,4664,440,0,""
26,7664,"v_mul_u32_u24_e32 v8, 0x44, v18",1056,4796,572,0,""
26,7672,"v_lshlrev_b32_e32 v18, 6, v59",1056,4620,388,0,""
26,7676,"v_lshl_add_u32 v55, v26, 1, v3",1056,5036,804,144,""
26,7684,"v_lshl_add_u32 v47, v2, 1, v3",1056,4984,752,0,""
26,7692,"v_lshl_add_u32 v48, v4, 1, v3",1056,4880,656,0,""
26,7700,"v_lshl_add_u32 v49, v5, 1, v3",1056,4760,520,0,""
26,7708,"v_lshl_add_u32 v58, v6, 1, v3",1056,5088,860,3140,""
26,7716,"v_lshl_add_u32 v51, v7, 1, v3",1056,4688,456,0,""
26,7724,"v_lshl_add_u32 v50, v8, 1, v3",1056,4748,520,0,""
26,7732,"v_lshl_add_u64 v[2:3], v[24:25], 0, v[18:19]",1056,5020,784,0,""
26,7740,"s_mov_b64 s[4:5], 0x80",1056,4224,0,2992,""
26,7748,"v_lshl_add_u64 v[2:3], s[2:3], 0, v[2:3]",1056,4816,588,0,""
26,7756,"v_add_u32_e32 v53, 0x4400, v52",1056,4548,324,0,""
26,7764,"v_add_u32_e32 v54, 0x4410, v52",1056,4320,76,0,""
26,7772,"v_add_u32_e32 v56, 0x4430, v52",1056,4520,292,3572,""
26,7780,"v_add_u32_e32 v57, 0x4420, v52",1056,4580,348,0,""
26,7788,"v_lshl_add_u64 v[24:25], v[2:3], 0, s[4:5]",1056,4624,400,0,""
26,7796,"s_mov_b64 s[2:3], 0",1056,4316,48,0,""
26,7800,"s_waitcnt vmcnt(3)",1056,496192,496192,0,""
26,7804,"ds_write2_b64 v54, v[28:29], v[30:31] offset1:1",1056,30156,8448,24,""
26,7812,"s_waitcnt vmcnt(2)",1056,33764,33764,0,""
26,7816,"ds_write2_b64 v53, v[32:33], v[34:35] offset1:1",1056,28968,5876,0,""
26,7824,"s_waitcnt vmcnt(1)",1056,44608,44608,0,""
26,7828,"ds_write2_b64 v56, v[36:37], v[38:39] offset1:1",1056,29404,6148,0,""
26,7836,"s_waitcnt vmcnt(0)",1056,32956,32956,0,""
26,7840,"ds_write2_b64 v57, v[40:41], v[42:43] offset1:1",1056,30480,7096,0,""
26,7848,"s_branch 227",1056,4252,16,68,""
26,7852,"s_or_b64 exec, exec, s[8:9]",100320,418272,1620,1520256,""
26,7856,"v_lshl_add_u64 v[42:43], v[42:43], 1, v[22:23]",100320,586292,146768,0,""
26,7864,"global_load_dwordx4 v[60:63], v[42:43], off offset:160",100320,24024948,23525644,764316,""
26,7872,"global_load_dwordx4 v[64:67], v[42:43], off offset:176",100320,4487576,3987980,384,""
26,7880,"global_load_dwordx4 v[68:71], v[42:43], off offset:128",100320,2982356,2482568,0,""
26,7888,"global_load_dwordx4 v[72:75], v[42:43], off offset:144",100320,2936412,2512432,0,""
26,7896,"ds_read_b64 v[42:43], v46 offset:32",100320,1474700,1067920,0,""
26,7904,"ds_read_b64 v[76:77], v47 offset:32",100320,707656,300092,440,""
26,7912,"ds_read_b64 v[78:79], v48 offset:32",100320,744760,337224,0,""
26,7920,"ds_read_b64 v[80:81], v49 offset:32",100320,692468,285780,0,""
26,7928,"ds_read_b64 v[82:83], v55 offset:17440",100320,656104,249052,0,""
26,7936,"ds_read_b64 v[84:85], v58 offset:17440",100320,619664,212932,4192,""
26,7944,"ds_read_b64 v[86:87], v51 offset:17440",100320,670280,263604,0,""
26,7952,"ds_read_b64 v[88:89], v50 offset:17440",100320,624820,223540,0,""
26,7960,"s_waitcnt lgkmcnt(11)",100320,401280,401280,0,""
26,7964,"v_mfma_f32_16x16x16_f16 a[60:63], v[36:37], v[40:41], a[60:63]",100320,3636352,3235072,3240,""
26,7972,"s_waitcnt lgkmcnt(10)",100320,401280,401280,0,""
26,7976,"v_mfma_f32_16x16x16_f16 a[56:59], v[36:37], v[38:39], a[56:59]",100320,1258696,846252,0,""
26,7984,"v_mfma_f32_16x16x16_f16 a[48:51], v[34:35], v[40:41], a[48:51]",100320,2953228,2541008,0,""
26,7992,"v_mfma_f32_16x16x16_f16 a[52:55], v[34:35], v[38:39], a[52:55]",100320,1763900,1348616,0,""
26,8000,"v_mfma_f32_16x16x16_f16 a[40:43], v[28:29], v[40:41], a[40:43]",100320,1725660,1311600,0,""
26,8008,"v_mfma_f32_16x16x16_f16 a[44:47], v[28:29], v[38:39], a[44:47]",100320,1619808,1208512,0,""
26,8016,"v_mfma_f32_16x16x16_f16 a[36:39], v[26:27], v[40:41], a[36:39]",100320,1629828,1218872,0,""
26,8024,"v_mfma_f32_16x16x16_f16 a[28:31], v[26:27], v[38:39], a[28:31]",100320,1632820,1231540,0,""
26,8032,"s_waitcnt lgkmcnt(9)",100320,401280,401280,0,""
26,8036,"v_mfma_f32_16x16x16_f16 a[24:27], v[36:37], v[32:33], a[24:27]",100320,1253944,852664,0,""
26,8044,"s_waitcnt lgkmcnt(8)",100320,401280,401280,0,""
26,8048,"v_mfma_f32_16x16x16_f16 a[4:7], v[36:37], v[30:31], a[4:7]",100320,1266996,856364,0,""
26,8056,"v_mfma_f32_16x16x16_f16 a[8:11], v[34:35], v[32:33], a[8:11]",100320,1651224,1241580,0,""
26,8064,"v_mfma_f32_16x16x16_f16 a[12:15], v[34:35], v[30:31], a[12:15]",100320,1679732,1270160,0,""
26,8072,"v_mfma_f32_16x16x16_f16 a[16:19], v[28:29], v[32:33], a[16:19]",100320,1673184,1263312,0,""
26,8080,"v_mfma_f32_16x16x16_f16 a[20:23], v[28:29], v[30:31], a[20:23]",100320,1674120,1263692,0,""
26,8088,"v_mfma_f32_16x16x16_f16 a[32:35], v[26:27], v[32:33], a[32:35]",100320,1661320,1250972,0,""
26,8096,"v_mfma_f32_16x16x16_f16 a[0:3], v[26:27], v[30:31], a[0:3]",100320,1644072,1239712,0,""
26,8104,"ds_read_b64 v[26:27], v46 offset:64",100320,3809812,3407004,0,""
26,8112,"ds_read_b64 v[28:29], v47 offset:64",100320,761724,359040,0,""
26,8120,"ds_read_b64 v[30:31], v48 offset:64",100320,804012,401040,0,""
